,Customer ID,Age,Gender,Category,Purchase Amount (USD),Size,Color,Season,Review Rating,Subscription Status,Payment Method,Discount Applied,Promo Code Used,Previous Purchases,Frequency of Purchases
0,1,55,Male,Clothing,53,L,Gray,Winter,3.1,Yes,Credit Card,Yes,Yes,14,Fortnightly
1,2,19,Male,Clothing,64,L,Maroon,Winter,3.1,Yes,Bank Transfer,Yes,Yes,2,Fortnightly
2,3,50,Male,Clothing,73,S,Maroon,Spring,3.1,Yes,Cash,Yes,Yes,23,Weekly
3,4,21,Male,Footwear,90,M,Maroon,Spring,3.5,Yes,PayPal,Yes,Yes,49,Weekly
4,5,45,Male,Clothing,49,M,Turquoise,Spring,2.7,Yes,Cash,Yes,Yes,31,Annually
5,6,46,Male,Footwear,20,M,White,Summer,2.9,Yes,Venmo,Yes,Yes,14,Weekly
6,7,63,Male,Clothing,85,M,Gray,Fall,3.2,Yes,Debit Card,Yes,Yes,49,Quarterly
7,8,27,Male,Clothing,34,L,Charcoal,Winter,3.2,Yes,Debit Card,Yes,Yes,19,Weekly
8,9,26,Male,Outerwear,97,L,Silver,Summer,2.6,Yes,Venmo,Yes,Yes,8,Annually
9,10,57,Male,Accessories,31,M,Pink,Spring,4.8,Yes,PayPal,Yes,Yes,4,Quarterly
10,11,53,Male,Footwear,34,L,Purple,Fall,4.1,Yes,Credit Card,Yes,Yes,26,Bi-Weekly
11,12,30,Male,Clothing,68,S,Olive,Winter,4.9,Yes,PayPal,Yes,Yes,10,Fortnightly
12,13,61,Male,Outerwear,72,M,Gold,Winter,4.5,Yes,PayPal,Yes,Yes,37,Fortnightly
13,14,65,Male,Clothing,51,M,Violet,Spring,4.7,Yes,Debit Card,Yes,Yes,31,Weekly
14,15,64,Male,Outerwear,53,L,Teal,Winter,4.7,Yes,PayPal,Yes,Yes,34,Weekly
15,16,64,Male,Clothing,81,M,Teal,Winter,2.8,Yes,Credit Card,Yes,Yes,8,Monthly
16,17,25,Male,Accessories,36,S,Gray,Spring,4.1,Yes,Venmo,Yes,Yes,44,Bi-Weekly
17,18,53,Male,Clothing,38,XL,Lavender,Winter,4.7,Yes,Debit Card,Yes,Yes,36,Quarterly
18,19,52,Male,Clothing,48,S,Black,Summer,4.6,Yes,Bank Transfer,Yes,Yes,17,Weekly
19,20,66,Male,Clothing,90,M,Green,Summer,3.3,Yes,Venmo,Yes,Yes,46,Bi-Weekly
20,21,21,Male,Clothing,51,M,Black,Winter,2.8,Yes,Credit Card,Yes,Yes,50,Every 3 Months
21,22,31,Male,Clothing,62,M,Charcoal,Winter,4.1,Yes,Credit Card,Yes,Yes,22,Quarterly
22,23,56,Male,Clothing,37,M,Peach,Summer,3.2,Yes,Cash,Yes,Yes,32,Annually
23,24,31,Male,Clothing,88,XL,White,Winter,4.4,Yes,Credit Card,Yes,Yes,40,Weekly
24,25,18,Male,Outerwear,22,M,Green,Fall,2.9,Yes,Cash,Yes,Yes,16,Weekly
25,26,18,Male,Clothing,25,M,Silver,Summer,3.6,Yes,Bank Transfer,Yes,Yes,14,Annually
26,27,38,Male,Accessories,20,M,Red,Spring,3.6,Yes,Cash,Yes,Yes,13,Annually
27,28,56,Male,Clothing,56,L,Cyan,Summer,5.0,Yes,Debit Card,Yes,Yes,7,Every 3 Months
28,29,54,Male,Accessories,94,M,Gray,Fall,4.4,Yes,Debit Card,Yes,Yes,41,Every 3 Months
29,30,31,Male,Clothing,48,S,Black,Fall,4.1,Yes,Venmo,Yes,Yes,14,Weekly
30,31,57,Male,Accessories,31,L,Black,Winter,4.7,Yes,Bank Transfer,Yes,Yes,16,Monthly
31,32,33,Male,Clothing,79,L,Brown,Winter,4.7,Yes,Venmo,Yes,Yes,45,Monthly
32,33,36,Male,Outerwear,67,M,Silver,Summer,4.9,Yes,Bank Transfer,Yes,Yes,37,Annually
33,34,54,Male,Clothing,38,L,Green,Summer,3.3,Yes,Venmo,Yes,Yes,45,Quarterly
34,35,36,Male,Clothing,91,L,Violet,Spring,4.6,Yes,Debit Card,Yes,Yes,38,Quarterly
35,36,54,Male,Clothing,33,M,Cyan,Summer,4.0,Yes,Bank Transfer,Yes,Yes,48,Bi-Weekly
36,37,35,Male,Clothing,69,M,Maroon,Winter,4.6,Yes,Cash,Yes,Yes,44,Fortnightly
37,38,35,Male,Clothing,45,S,Cyan,Summer,2.8,Yes,Debit Card,Yes,Yes,10,Weekly
38,39,29,Male,Clothing,37,M,Red,Winter,3.7,Yes,Debit Card,Yes,Yes,44,Every 3 Months
39,40,70,Male,Clothing,60,S,Turquoise,Summer,4.2,Yes,Bank Transfer,Yes,Yes,18,Monthly
40,41,69,Male,Accessories,76,L,Beige,Winter,4.6,Yes,PayPal,Yes,Yes,31,Quarterly
41,42,67,Male,Accessories,39,M,Orange,Spring,4.5,Yes,Cash,Yes,Yes,40,Annually
42,43,20,Male,Outerwear,100,M,Beige,Spring,4.1,Yes,Bank Transfer,Yes,Yes,15,Annually
43,44,25,Male,Accessories,69,L,Lavender,Fall,3.7,Yes,PayPal,Yes,Yes,19,Fortnightly
44,45,39,Male,Accessories,53,S,Silver,Summer,4.6,Yes,Bank Transfer,Yes,Yes,45,Weekly
45,46,50,Male,Clothing,21,XL,Indigo,Fall,2.9,Yes,Venmo,Yes,Yes,25,Annually
46,47,57,Male,Clothing,43,L,White,Summer,2.9,Yes,Venmo,Yes,Yes,45,Quarterly
47,48,55,Male,Accessories,54,M,Charcoal,Winter,4.5,Yes,Debit Card,Yes,Yes,36,Weekly
48,49,42,Male,Clothing,55,M,Orange,Summer,2.7,Yes,Debit Card,Yes,Yes,38,Monthly
49,50,68,Male,Clothing,30,S,Indigo,Spring,4.6,Yes,Bank Transfer,Yes,Yes,34,Bi-Weekly
50,51,49,Male,Clothing,28,M,Red,Spring,3.7,Yes,Cash,Yes,Yes,39,Bi-Weekly
51,52,59,Male,Clothing,59,XL,Gray,Winter,4.7,Yes,PayPal,Yes,Yes,7,Quarterly
52,53,42,Male,Clothing,20,M,Green,Summer,2.6,Yes,Credit Card,Yes,Yes,26,Weekly
53,54,29,Male,Clothing,24,S,Peach,Winter,3.9,Yes,Debit Card,Yes,Yes,35,Weekly
54,55,47,Male,Outerwear,94,M,Brown,Summer,4.2,Yes,Bank Transfer,Yes,Yes,35,Bi-Weekly
55,56,40,Male,Outerwear,28,M,Lavender,Winter,3.0,Yes,Venmo,Yes,Yes,49,Annually
56,57,41,Male,Accessories,73,XL,Brown,Summer,4.7,Yes,PayPal,Yes,Yes,46,Weekly
57,58,21,Male,Outerwear,64,M,White,Summer,4.4,Yes,PayPal,Yes,Yes,17,Fortnightly
58,59,69,Male,Clothing,54,M,Charcoal,Summer,4.2,Yes,Credit Card,Yes,Yes,29,Monthly
59,60,63,Male,Accessories,79,L,Yellow,Spring,4.6,Yes,Debit Card,Yes,Yes,4,Weekly
60,61,50,Male,Clothing,37,L,Brown,Summer,4.0,Yes,Credit Card,Yes,Yes,17,Weekly
61,62,55,Male,Accessories,68,M,Orange,Winter,4.7,Yes,Bank Transfer,Yes,Yes,21,Every 3 Months
62,63,30,Male,Footwear,21,S,Magenta,Spring,3.8,Yes,Credit Card,Yes,Yes,31,Fortnightly
63,64,33,Male,Accessories,79,L,Lavender,Winter,2.7,Yes,Credit Card,Yes,Yes,43,Weekly
64,65,65,Male,Footwear,83,S,Green,Fall,4.8,Yes,PayPal,Yes,Yes,18,Fortnightly
65,66,65,Male,Accessories,36,M,Purple,Spring,4.8,Yes,Credit Card,Yes,Yes,44,Every 3 Months
66,67,31,Male,Clothing,94,S,Magenta,Winter,4.7,Yes,Bank Transfer,Yes,Yes,3,Every 3 Months
67,68,45,Male,Outerwear,33,L,Gray,Winter,4.4,Yes,PayPal,Yes,Yes,49,Monthly
68,69,57,Male,Accessories,46,L,Silver,Summer,3.9,Yes,Credit Card,Yes,Yes,21,Every 3 Months
69,70,48,Male,Accessories,70,S,Cyan,Summer,4.4,Yes,Credit Card,Yes,Yes,5,Weekly
70,71,22,Male,Accessories,29,M,Magenta,Fall,4.2,Yes,Credit Card,Yes,Yes,32,Every 3 Months
71,72,36,Male,Clothing,48,L,Gold,Summer,2.9,Yes,Debit Card,Yes,Yes,34,Annually
72,73,18,Male,Clothing,26,M,Olive,Winter,2.9,Yes,Debit Card,Yes,Yes,21,Every 3 Months
73,74,48,Male,Clothing,85,M,Teal,Spring,2.7,Yes,Debit Card,Yes,Yes,43,Bi-Weekly
74,75,49,Male,Accessories,58,L,Violet,Spring,4.5,Yes,PayPal,Yes,Yes,3,Monthly
75,76,64,Male,Accessories,85,M,Blue,Summer,2.7,Yes,Debit Card,Yes,Yes,21,Annually
76,77,50,Male,Accessories,43,S,Teal,Summer,4.2,Yes,Bank Transfer,Yes,Yes,32,Monthly
77,78,22,Male,Clothing,53,L,Gold,Summer,3.3,Yes,Debit Card,Yes,Yes,36,Fortnightly
78,79,50,Male,Clothing,91,M,Maroon,Spring,4.7,Yes,Venmo,Yes,Yes,50,Fortnightly
79,80,38,Male,Outerwear,96,M,Olive,Winter,2.6,Yes,Bank Transfer,Yes,Yes,43,Every 3 Months
80,81,19,Male,Footwear,72,XL,Blue,Summer,3.3,Yes,Credit Card,Yes,Yes,24,Every 3 Months
81,82,67,Male,Footwear,96,L,Maroon,Summer,2.6,Yes,PayPal,Yes,Yes,36,Every 3 Months
82,83,19,Male,Clothing,28,S,Olive,Spring,4.0,Yes,Bank Transfer,Yes,Yes,21,Every 3 Months
83,84,36,Male,Clothing,40,M,Turquoise,Summer,4.1,Yes,Debit Card,Yes,Yes,34,Weekly
84,85,52,Male,Outerwear,32,S,Peach,Spring,4.4,Yes,Cash,Yes,Yes,42,Every 3 Months
85,86,53,Male,Accessories,95,M,Charcoal,Winter,4.5,Yes,Credit Card,Yes,Yes,2,Bi-Weekly
86,87,24,Male,Clothing,41,L,Pink,Spring,3.7,Yes,Venmo,Yes,Yes,47,Bi-Weekly
87,88,52,Male,Footwear,53,M,Green,Fall,3.7,Yes,Debit Card,Yes,Yes,44,Fortnightly
88,89,33,Male,Clothing,47,M,Orange,Fall,3.5,Yes,Credit Card,Yes,Yes,35,Monthly
89,90,47,Male,Outerwear,83,XL,Pink,Fall,3.6,Yes,Bank Transfer,Yes,Yes,15,Quarterly
90,91,25,Male,Accessories,48,L,Violet,Summer,2.9,Yes,Venmo,Yes,Yes,29,Monthly
91,92,44,Male,Accessories,99,S,Green,Winter,4.6,Yes,PayPal,Yes,Yes,18,Every 3 Months
92,93,61,Male,Outerwear,87,M,Olive,Winter,4.4,Yes,Cash,Yes,Yes,13,Every 3 Months
93,94,37,Male,Clothing,62,M,Purple,Fall,4.5,Yes,PayPal,Yes,Yes,46,Weekly
94,95,58,Male,Clothing,76,S,Silver,Spring,4.6,Yes,Bank Transfer,Yes,Yes,28,Weekly
95,96,37,Male,Footwear,100,L,Pink,Fall,3.8,Yes,PayPal,Yes,Yes,48,Monthly
96,97,32,Male,Accessories,73,S,Gold,Spring,3.6,Yes,Venmo,Yes,Yes,43,Every 3 Months
97,98,21,Male,Footwear,92,M,Teal,Winter,4.8,Yes,PayPal,Yes,Yes,37,Annually
98,99,20,Male,Clothing,67,XL,Teal,Spring,2.6,Yes,Cash,Yes,Yes,20,Annually
99,100,26,Male,Clothing,40,XL,Indigo,Summer,3.7,Yes,Cash,Yes,Yes,33,Quarterly
100,101,62,Male,Accessories,98,M,Maroon,Fall,2.7,Yes,PayPal,Yes,Yes,31,Fortnightly
101,102,27,Male,Outerwear,85,XL,White,Spring,4.6,Yes,Venmo,Yes,Yes,50,Bi-Weekly
102,103,51,Male,Clothing,67,L,Violet,Winter,4.8,Yes,Credit Card,Yes,Yes,35,Quarterly
103,104,54,Male,Footwear,89,L,Red,Winter,4.0,Yes,Debit Card,Yes,Yes,22,Bi-Weekly
104,105,55,Male,Accessories,24,L,Pink,Spring,4.4,Yes,Bank Transfer,Yes,Yes,1,Monthly
105,106,69,Male,Accessories,96,M,Charcoal,Fall,3.6,Yes,Bank Transfer,Yes,Yes,4,Annually
106,107,64,Male,Outerwear,35,L,White,Summer,3.7,Yes,Cash,Yes,Yes,31,Monthly
107,108,28,Male,Footwear,67,L,Olive,Winter,3.1,Yes,Cash,Yes,Yes,46,Fortnightly
